Date,Gewicht (kg),Fettmasse (kg),Knochenmasse (kg),Muskelmasse (kg),Wasseranteil (kg),Kommentare
2022-05-05 14:35:50,79.54,,,,,
2022-05-04 06:17:02,77.59,,,,,
2022-05-03 04:11:02,79.3,,,,,
2022-05-02 17:50:08,81.79,,,,,
2022-04-27 23:03:58,81.15,,,,,
2022-04-22 13:38:29,81.22,,,,,
2022-04-20 15:51:20,79.87,,,,,
2022-04-20 15:51:00,80.98,,,,,
2022-04-19 12:43:16,82.88,,,,,
2022-04-17 19:13:39,81.66,,,,,
2022-04-15 13:40:33,81.99,,,,,
2022-04-02 03:03:36,83.47,,,,,
2022-03-21 12:01:52,82.78,,,,,
2022-03-04 15:53:23,77.75,,,,,
2022-03-02 10:06:23,79.32,,,,,
2022-02-28 16:59:12,80.95,,,,,
2022-02-22 07:21:23,82.08,,,,,
2022-02-17 08:14:49,78.74,,,,,
2022-02-12 17:56:43,79.74,,,,,
2022-02-10 15:16:28,78.94,,,,,
2022-02-08 05:26:35,78.23,,,,,
2022-02-06 00:37:39,76.87,,,,,
2022-02-04 04:37:22,78.37,,,,,
2022-02-03 01:30:35,78.47,,,,,
2022-01-28 17:26:14,75.4,,,,,
2022-01-27 18:41:32,77.19,,,,,
2022-01-26 22:37:58,76.63,,,,,
2022-01-25 20:10:01,76.87,,,,,
2022-01-25 15:56:38,77.22,,,,,
2022-01-22 16:31:15,76.11,,,,,
2022-01-21 15:38:21,77.4,,,,,
2022-01-19 19:27:19,78.5,,,,,
2022-01-18 16:20:29,76.63,,,,,
2022-01-17 15:29:19,76.56,,,,,
2022-01-13 14:34:25,78.8,,,,,
2022-01-10 09:42:12,76.51,,,,,
2022-01-06 07:07:11,74.63,,,,,
2022-01-03 06:54:13,76.57,,,,,
2021-12-26 16:57:43,74.35,,,,,
2021-12-22 00:56:37,72.08,,,,,
2021-12-17 21:58:24,73.46,,,,,
2021-12-13 17:50:56,73.75,,,,,
2021-12-10 16:11:04,72.06,,,,,
2021-12-03 16:13:34,68.81,,,,,
2021-12-03 16:13:14,69.79,,,,,
2021-12-01 15:38:30,72.49,,,,,
2021-11-25 17:27:56,71.24,,,,,
2021-11-25 12:43:18,70.59,,,,,
2021-11-20 02:08:29,68.97,,,,,
2021-11-17 23:09:35,69.41,,,,,
2021-11-16 15:52:20,69.75,,,,,
2021-11-14 22:43:46,71.24,,,,,
2021-11-11 14:57:25,71.68,,,,,
2021-11-10 14:59:21,69.47,,,,,
2021-11-07 02:15:17,71.13,,,,,
2021-11-02 20:50:47,68.73,,,,,
2021-10-20 18:17:54,67.3,,,,,
2021-09-03 20:03:24,58.98,,,,,
2021-08-22 11:23:32,60.08,,,,,
2021-08-18 15:14:14,59.4,,,,,
2021-07-30 05:29:01,61.76,,,,,
2021-07-13 22:50:58,61.15,,,,,
2021-06-27 18:03:44,59.88,,,,,
2021-06-18 08:05:31,61.28,,,,,
2021-06-12 03:19:59,61.08,,,,,
2021-06-09 17:03:06,61.75,,,,,
2021-05-29 00:37:18,61.62,,,,,
2021-04-16 11:03:10,62.66,,,,,
2021-04-02 12:52:58,62.19,,,,,
2021-03-25 22:04:18,60.52,,,,,
2021-03-19 11:44:59,60.25,,,,,
2021-03-07 01:53:58,62.21,,,,,
2021-03-04 03:16:20,61.53,,,,,
2021-03-04 03:11:32,61.04,,,,,
2021-03-01 21:25:45,61.69,,,,,
2021-02-26 02:48:01,60.96,,,,,
2021-02-23 00:53:48,62.68,,,,,
2021-02-19 17:53:22,63.59,,,,,
2021-02-15 16:59:08,63.28,,,,,
2021-02-13 12:12:09,63.66,,,,,
2021-02-12 23:47:33,64.28,,,,,
2021-02-09 09:57:04,63.69,,,,,
2021-02-07 13:44:38,62.41,,,,,
2021-02-04 11:54:37,63.35,,,,,
2021-02-01 12:18:59,64.13,,,,,
2021-01-29 21:51:04,64.46,,,,,
2021-01-28 06:03:20,63.77,,,,,
2021-01-09 11:40:06,63.96,,,,,
2020-12-23 03:42:27,62.17,,,,,
2020-10-21 03:26:27,64.84,,,,,
2020-10-09 06:38:44,62.55,,,,,
2020-08-24 03:14:54,62.32,,,,,
2020-08-13 08:46:05,63.11,,,,,
2020-08-06 21:24:00,62.34,,,,,
2020-08-06 15:53:03,62.69,,,,,
2020-08-03 20:07:41,63.8,,,,,
2020-07-30 12:11:29,66.23,,,,,
2020-07-29 11:50:15,66.66,,,,,
2020-07-29 02:47:48,65.38,,,,,
2020-07-28 12:47:13,62.9,,,,,
2020-07-27 14:23:58,63.67,,,,,
2020-07-27 11:13:50,64.12,,,,,
2020-07-27 01:20:48,64.75,,,,,
2020-07-26 13:44:23,64,,,,,
2020-07-26 07:29:09,64.76,,,,,
2020-07-25 21:31:02,65.13,,,,,
2020-07-25 14:37:52,63.74,,,,,
2020-07-24 21:46:35,64.7,,,,,
2020-07-24 04:45:08,63.56,,,,,
2020-07-22 22:31:21,64.61,,,,,
2020-07-21 05:47:24,64.14,,,,,
2020-07-21 01:37:06,65.93,,,,,
2020-07-20 10:35:48,64.79,,,,,
2020-07-19 08:56:11,64.91,,,,,
2020-07-17 03:14:18,66.2,,,,,
2020-07-14 02:37:32,64.45,,,,,
2020-07-13 07:54:34,65.67,,,,,
2020-07-11 05:58:40,65.41,,,,,
2020-07-10 00:49:07,66.47,,,,,
2020-07-09 05:48:07,65.12,,,,,
2020-07-08 07:06:00,65.19,,,,,
2020-07-04 06:12:53,66.55,,,,,
2020-07-02 23:47:18,65.04,,,,,
2020-07-02 01:31:28,65.54,,,,,
2020-06-30 22:31:30,64.86,,,,,
2020-06-30 16:06:46,63.54,,,,,
2020-06-29 23:42:07,64.17,,,,,
2020-06-29 19:52:53,64.61,,,,,
